,Location
1035,Kiambu Road
1036,Mimosa Road
1037,Shopping centre
1038,Kileleshwa
1039,Westlands Area
1040,Westlands Area
1041,Westlands Area
1042,Eldama ravine
1043,Kilimani
1044,Parklands
1045,Mugoiri road
1047,Lavington
1048,riverside
1049,Off Kaputei Road
1050,Kileleshwa
1051,Ngara Road
1052,Kilimani
1053,Kilimani
1054,Kiambu road
1056,Dennis Pritt
1057,Dubai Style Apartments
1059,lavington green
1060,Riverside
1061,Ngong Road
1062,Kinanda rd
1063,Limuru Road
1064,Westlands Area
1065,Kileleshwa Area
1066,Bogani Road
1067,Kileleshwa
1068,Riverside
1069,General Mathenge
1070,Lower kabete road
1072,Kilimani
1073,Ruaraka
1074,General mathenge
1075,Riara road
1077,kileleshwa
1078,Madaraka
1079,Thigiri
1080,Kilimani
1081,Lavington
1082,Kileleshwa
1083,Harambee Avenue
1084,Kiambu Road
1085,KES 7000- PER DAY
1086,Karen
1087,Karen area
1088,Lavington
1090,Kitisuru
1091,Riverside Drive
1092,Lavington
1093,Fourways
1094,Mombasa Road
1095,karen
1096,Lavington
1097,Mombasa Road
1098,Lavington
1099,Kitisuru
1100,Exit 7 Thika Road
1101,Karen
1102,Kilimani
1103,Westlands Area
1104,Valley Arcade
1105,Rhapta Road
1107,St Michael Road
1108,Kilimani
1109,kileleshwa
1110,Karen
1111,Yaya Center
1112,Muthaiga
1113,Kileleshwa
1114,Mimosa drive
1115,kilimani
1116,Kilimani
1117,Bongani road
1118,Upper Hill
1119,Runda
1120,Gigiri
1121,Lantana road
1122,Karen
1123,Brookside grove
1125,Lavington
1126,Kiambu road
1127,Muthaiga
1128,Peponi Road
1129,Westlands Area
1130,Karen
1131,Karen plain
1132,Arqwing khodek
1133,Gigiri
1134,Muthaiga
1135,Peponi Road
1136,Westland
1137,kileleshwa
1138,Mkungu close
1139,Bomas
1141,Kilimani
1142,Industrial Area
1143,Mombasa Road
1144,SPRING VALLEY
1145,Mombasa Road
1146,Riverside
1147,Runda
1148,Kilimani
1149,Runda
1150,Kiambu Road
1151,Lavington
1152,Kileleshwa
1153,Riverside Park
1154,Kiambu Road
1155,Lavington
1156,Upper Hill
1157,Westlands Area
1158,Riverside
1159,Lenana Close
1160,Gigiri
1162,Karen
1163,Riverside
1164,Nyari
1165,Baba Dogo Road
1166,Kitisuru
1167,Kilimani
1168,Lavington
1170,Runda
1171,Kiambu
1172,Westlands Area
1173,River road
1174,Parklands
1175,Spring Valley
1176,Rhapta Road
1177,Kitisuru
1178,Westlands Area
1180,Kiambu road
1181,kileleshwa
1182,Mombasa Road
1183,Karen
1184,Kiambu Road
1185,Off Limuru rd
1186,riverside drive
1187,Facing karura forest
1188,lavington
1189,Mogotio Road
1190,Runda
1191,kilimani
1192,wes
1193,kilimani
1194,Kiambu Road
1195,Kiambu Road
1196,Lavington
1197,Westlands Area
1198,Spring valley road
1199,kilimani
1200,Kileleshwa
1201,Kileleshwa
1202,Brookside
1203,Rosslyn
1206,Lavington
1207,North airport Road
1208,nyari
1209,Kilimani
1210,Kileleshwa
1211,Garden estate
1212,Karen End
1213,Kileleshwa
1214,Loresho
1215,Spring Valley
1216,Kilimani
1217,Kilimani
1218,Kitisuru
1219,lavington
1220,Lavington
1221,kilimani
1222,Kilimani
1223,Spring Valley
1224,Runda
1225,Kiambu Rd.
1226,Thigiri
1227,Karuna Road
1228,Rhapta rd
1230,Kitisuru
1231,Kitisuru
1232,Old Muthaiga
1233,Kitisuru
1234,Westlands Area
1235,Gigiri
1236,Kiambu road
1237,kilimani
1238,Riverside
1240,Runda drive
1241,Rosslyn
1242,Nyari
1243,City Park drive
1244,Lavington
1245,Mombasa Road
1246,brookside
1247,Runda
1248,Rosslyn
1249,Kiambu Road
1250,Nyari
1251,Rosslyn
1252,River road
1253,Lower kabete
1254,Runda
1255,Spring valley
1256,Riara rd
1257,kilimani
1258,Kahawa West
1259,General Mathenge
1260,GatewayMall
1261,Brookside
1263,peponi road
1264,Westlands Area
1265,Kangundo Road
1267,Nyari
1268,Loresho
1269,Westlands Area
1270,Westlands Area
1271,Muthaiga
1272,Near Lavington Mall
1273,Kilimani
1274,Kiambu Road
1275,Peponi road
1276,Muthangari drive
1277,Runda
1278,Westlands Area
1279,Langata
1280,Lavington
1281,Waiyaki Way
1282,Upper Hill
1283,Kilimani
1284,Kileleshwa
1285,Muthaiga
1286,Riverside
1287,Westlands Area
1288,Lavington
1289,Karen
1291,Eden Ville Estate Opp Fivestar Meadows
1292,Kilimani
1293,Lower Kabete
1294,kilimani
1296,Kileleshwa
1297,Rosslyn Lone Tree Estate Road
1298,Lavington
1299,General Mathenge
1300,Kilimani
1301,Westlands Area
1302,Westlands Area
1303,Lavington
1304,Kileleshwa
1305,Argwings Kodhek
1306,Brookside drive
1307,Upper Hill
1309,Muthaiga
1310,Nairobi
1311,Nyari
1312,Westlands Area
1313,Kileleshwa
1314,Kyuna crescent
1315,Lavington Nairobi
1316,Lavington
1317,karen
1318,Spring Valley
1319,Kiambu Road
1320,Karen
1321,Mombasa Road
1322,Mombasa Road
1323,Lavington
1324,Industrial Area
1325,Kileleshwa
1327,City Park drive
1328,State House
1329,Rhapta Road
1330,Runda
1331,General Mathenge
1332,Ngong Road
1333,Mushroom Gardens Estate
1334,Westlands Area
1335,Kilimani
1336,Westlands Area
1337,Kileleshwa
1338,Westlands Area
1339,Muthangari Drive
1340,Spring Valley
1341,Nairobi CBD
1342,Lower kabete
1343,kilimani
1344,Greville groove
1346,Westlands Area
1347,Waiyaki Way
1348,Nyari
1349,Kilimani
1350,School Lane
1351,lavington
1352,Riverside
1354,Rhapta Road
1355,Westlands Area
1356,Mountain view
1357,Brookside
1358,Parklands
1359,Kilimani
1360,Karen
1361,Kitisuru
1362,Waiyaki way
1363,Brookside
1364,lavington
1365,Thika Road
1366,Karen
1368,kileleshwa
1370,riverside
1371,Westlands Road
1372,Muthithi road
1373,Thika Road
1374,Kileleshwa
1375,Lavington
1376,Kiambu road
1377,Muthaiga
1378,Kilimani
1379,Lavington
1380,Loresho
1381,Lavington
1382,Industrial Area
1383,Loresho
1384,@1600$ off limuru road near Gigiri
1385,Loresho
1386,Kiambu Road
1387,Near Galleria
1388,kilimani
1389,Kileleshwa
1390,Kileleshwa
1391,Riverside
1393,Lavington
1394,Lavington
1395,Kilimani
1396,Lavington
1397,Karen plain
1398,Lower kabete
1399,Kileleshwa
1400,Westlands Area
1401,Bogani
1402,Lavington
1403,Kitisuru
1404,Lavington
1405,Riverside
1406,Kileleshwa
1407,Bongani road
1408,Valley Arcade
1409,Karen
1410,Mombasa Road
1412,Kanjata Road
1413,Kilimani
1414,Kitisuru
1415,Westland
1416,Thigiri
1417,muthangari road
1418,Runda
1419,Riverside
1420,Kilimani
1421,Westlands Area
1422,Thigiri
1423,Kiambu road
1424,Lavington
1425,Kileleshwa
1426,Dennis Pritt
1427,lavington
1428,Karen hardy
1429,lavington
1430,Brookside
1431,Mombasa Road
1432,Rhapta road
1433,Riverside
1434,Runda
1435,Thome
1436,Rosslyn
1437,Peponi road
1438,LAVINGTON
1439,Keiyo road
1440,Lower Kabete
1441,Valley Arcade
1442,Runda
1443,Valley arcade
1444,Westlands Area
1445,Runda Nairobi
1446,Lavington
1447,Off peponi road
1448,Kilimani
1449,Riara road
1450,Spring Valley
1451,Muthaiga
1452,Riverside
1453,Lavington
1454,Industrial Area
1455,Lavington
1457,Kilimani
1458,Riverside
1459,Kilimani
1460,Lavington
1461,Kileleshwa
1462,Lavington
1463,Karen
