,Location
1678,Peponi
1679,Thika
1680,Lavington
1681,Kilimani
1682,Kitisuru
1683,Lavington
1684,Kitisuru
1685,Spring
1686,Westlands
1687,Kilimani
1688,Nyari
1689,Thika
1690,Lavington
1691,Kiambu
1692,Spring
1695,Mbaazi
1696,Kileleshwa
1697,Kileleshwa
1698,Westlands
1699,Kileleshwa
1700,Runda
1701,General
1702,Ndege
1703,Thika
1704,Karen
1705,Loresho
1706,Rosslyn
1707,Westlands
1708,Westlands
1709,Mzima
1710,Kileleshwa
1711,General
1713,Lavington
1714,Kiambu
1715,Parklands
1717,Kileleshwa
1719,Bomas
1720,Runda
1721,Loresho
1722,Lower
1723,General
1724,Kitisuru
1725,Kilimani
1726,Ndege
1727,City
1728,Riverside
1729,Peponi
1730,Lower
1731,Othaya
1732,Riverside
1733,Riverside
1734,Westlands
1735,Loresho
1737,Kitisuru
1738,Riara
1739,Rosslyn
1741,Westlands
1742,Nairobi
1743,Lavington
1744,Raphta
1745,Gatundu
1746,Karen
1747,Runda
1748,Kitisuru
1749,Spring
1750,Oledume
1751,Camellia
1752,Hurlngam
1753,Brookside
1755,Runda
1756,Lavington
1758,Parklands
1759,Karen
1760,Kilimani
1761,Kiambu
1763,Westlands
1764,6th
1765,Lavington
1766,Runda
1767,Thika
1768,Upper
1769,Kitisuru
1771,Kiambu
1772,Kilimani
1773,Lavington
1774,Gigiri
1775,General
1776,Lavington
1777,Runda
1778,Kilimani
1779,Gigiri
1780,Riverside
1781,Nyangumi
1782,Kiambu
1783,Lavington
1784,Runda
1785,Oloolua
1786,Westlands
1788,Lavington
1789,Ridgeways
1790,Kilimani
1791,Thigiri
1792,Oledume
1793,Ruaraka
1794,Karen
1795,Runda
1796,Dennis
1797,Kileleshwa
1798,Lantana
1799,Waiyaki
1800,Riverside
1801,Kitisuru
1802,Riverside
1803,Rosslyn
1804,Kilimani
1806,Karen
1807,Rhapta
1808,Westlands
1809,Convent
1810,Roselyne
1811,Westlands
1812,Lavington
1813,Riverside
1814,Near
1815,Runda
1816,Runda
1817,Westlands
1818,Kileleshwa
1819,Migaa
1820,Panafric
1821,Bogani
1822,Rhapta
1823,Karen
1824,Karen
1825,Thika
1826,Waiyaki
1827,Isk
1828,Kileleshwa
1831,Runda
1832,Kilimani
1835,Nyari
1836,Spring
1837,Lavington
1838,2
1839,Rosslyn
1840,Westlands
1841,General
1843,General
1844,Lavington
1846,Westlands
1847,Brookside
1849,Karen
1850,Kilimani
1851,Mombasa
1852,Un
1853,Fanaka
1854,Kiambu
1856,Lavington
1857,Westlands
